keyword,url,title,path
city employees retirement system,https://www.okc.gov/home/showdocument?id=1386,Oklahoma City Employee Retirement System,full/b2cbcb88524bd0e5a8986c7c14a36b3b884ea1c6
denver board of water commisioners retirement plan trust fund,https://www.denvergov.org/content/dam/denvergov/Portals/711/documents/wastewater-enterprise-financials_2016-2015.pdf,City and County of Denver Wastewater Management Enterprise Fund,full/131ef3999c9412f8ac362cff6200579391a4f95c.pdf
west virginia public employees retirement system,https://www.wvimb.org/getattachment/1978a0d2-ed4f-441f-8933-ddfd26b3a6fd/FY-2016-Annual-Report.aspx,West Virginia Investment Management Board,full/3061d5cae3c8e8b7ae6530138d9dbd09c667c44e.aspx
west tennessee healthcare pension plan,http://www.treasury.tn.gov/treasurersreports/2015/2015-Treasurers-Report.pdf,Tennessee Treasurer's Report,full/16704e1a567f186e4ca767b9ffed03ad7f1e67ee.pdf
bastrop firemens pension and relief fund,http://www.prb.state.tx.us/txpen/wp-content/uploads/2017/02/2017-Primer-Final.pdf,Guide to Public Retirement Systems in Texas (Primer),full/1fd6f1f0887100fb6650a9458b185397d167a067.pdf
west virginia public employees retirement system,https://tax.wv.gov/Documents/TaxForms/2016/it140.booklet.pdf,Personal Income Tax Forms & Instructions,full/0e77571ef9c7e4beeb0a3dc1688a102bd5d49bd4.pdf
bastrop firemens pension and relief fund,https://comptroller.texas.gov/transparency/reports/expenditures-by-county/2015/96-410.pdf,Texas State Expenditures by County 2015 (PDF),full/b40863fa1bc80cc35d64de3d9f7837df8535afd8.pdf
west tennessee healthcare pension plan,https://hr.mc.vanderbilt.edu/benefits/all-SPD.pdf,Summary Plan Descriptions,full/b0fbfe64a2e55d85e7127212a3a186dab1a07b72.pdf
city employees retirement system,https://www.sdcers.org/Investments/Reports/Total-Fund-Performance-Report/Total-Fund-Performance-Report.aspx,San Diego City Employees' Retirement System,full/0b72a8bae13bffa9c4b748c1ca05d9af3149c5a5.aspx
south st paul policemens relief association,http://www.upoa.org/wp-content/uploads/2013/11/APB_2013-04.pdf,- 1- All Points Bulletin • Official Publication of the Utah Peace Officers ...,full/0113082e681d3e7a502f922c7d7b4d33a091aeba.pdf
phenix city police and firemens pension system,https://www.peachtree-city.org/DocumentCenter/View/533,FY 2008 Approved Budget,full/471e4d26ff09b032420aba5ccb84e9c6bd8625e1
